location;Candidatus Branchiomonas cysticola;Ichthyobodo;Piscichlamydia salmonis;Candidatus Syngnamydia salmonis;Paranucleospora theridion;Parvicapsula pseudobranchicola;Loma salmonae;Ichthyophthirius multifiliis;Piscine orthoreovirus 3;Ichthyophonus hoferi;Myxobolus arcticus;Tenacibaculum maritimum;Atlantic salmon paramyxovirus;Tenacibaculum dicentrarchi
Talvik;9337.796871;52405.4375;17674.40136;3.644483156;0;1109.147977;0;0;338.3129553;0;0;0;0.779348134;0
Oksfjord;7791.332846;3757.013991;0;0;0;542.9584788;0;0;11.85234052;0;0;0;0;0
Jarfjord;3283.553892;8233.359243;3012.844506;4.232701965;0;1352.909158;0;0;0;0;0;0;0;0
Loksebotn;2300.216666;1769704.167;672.7085177;0.053040824;0;141.9922902;0;0.029409429;0;1.812666314;0;0;0;0
Sitter;38679.57043;13758.68196;18535.37191;0;0;5.027234466;0;0;294.1086366;0;0;0;0;0
Hitra;20147.90167;10080.88655;22817.63823;0;0;56.31965344;1.806019767;0;0;5.613270647;0;0;0;0.635577102
Maloy;5046.734162;81650.84808;7639.156349;0;24.99253151;0;0;0;0;0;0.383215379;0;0;0
Balestrand;316.3483021;10050.46967;45944.57374;0;5.347211603;0;12.30854638;0;0;0;1.180280217;0;0;0
Bjordal;2267.799741;12370.59784;101875.223;4.874474398;112.7025442;28.80700937;15.09822412;0.032929315;0.438815733;0;0;0;0;0
Heroyosen;175.0060581;12744.61228;1226.044235;0;95.6693601;0;0;0;0;0;0;52.69147386;0;0
Etne;1842.256568;155001.0497;8862.911804;1178.644673;3570.809107;0;29.18057772;34.55760894;0;0;0;2451509.559;0;0
Nedstrand;13507.87319;691545.5751;476750.8954;0;133.5991527;0;43.54552584;0.152795703;0;0;0;0;0;0
Ytre_Ardalsfjord;4417.22491;122819.7631;33198.74702;2.396591673;54.42627392;0.208323409;0;0;63.62518804;1.604671395;0;0;0;0
Forsand;2975.864214;891.0047421;10276.31228;4.23587314;321.1174706;0;0;0;0;0;0;0;0;0
Flekkefjord;1136158.68;340793.6291;55409.85101;1.856221372;1036.097063;0;0.842406216;0;0;0;0;0;0;0
